"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\pages\api\method-payment\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\method-payment\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\method-payment\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\permission\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\permission\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\permission\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\project-description\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\project-description\[id]\index.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\pages\api\project-description\index.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\dev\imersive vision\client\src\pages\api\project\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\project\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\project\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\tours-contact.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user-permission\[user_id]\[permission_id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user-permission\[user_id]\[permission_id]\index.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\pages\api\user-permission\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\login.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\logout.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\configs\env.config.ts", "TypeScript", 8, 0, 0, 4, 2, 14
"c:\dev\imersive vision\client\src\server\configs\mailer.config.ts", "TypeScript", 8, 0, 0, 6, 3, 17
"c:\dev\imersive vision\client\src\server\configs\supabase.config.ts", "TypeScript", 5, 0, 0, 4, 2, 11
"c:\dev\imersive vision\client\src\server\modules\client\aplication\client.usecase.ts", "TypeScript", 171, 0, 0, 0, 26, 197
"c:\dev\imersive vision\client\src\server\modules\client\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\client.controller.ts", "TypeScript", 221, 0, 0, 0, 47, 268
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\zodValidatorManager.ts", "TypeScript", 58, 0, 0, 0, 18, 76
"c:\dev\imersive vision\client\src\server\modules\form\aplication\form.usecase.ts", "TypeScript", 62, 0, 0, 5, 12, 79
"c:\dev\imersive vision\client\src\server\modules\form\domain\enums.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"c:\dev\imersive vision\client\src\server\modules\form\domain\interfaces.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\dev\imersive vision\client\src\server\modules\form\domain\mials.ts", "TypeScript", 14, 0, 0, 0, 4, 18
"c:\dev\imersive vision\client\src\server\modules\form\infraestructure\form.controller.ts", "TypeScript", 43, 0, 0, 0, 5, 48
"c:\dev\imersive vision\client\src\server\modules\installment\aplication\installment.usecase.ts", "TypeScript", 164, 0, 0, 0, 26, 190
"c:\dev\imersive vision\client\src\server\modules\installment\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\installment.controller.ts", "TypeScript", 218, 0, 0, 0, 47, 265
